; phones.csv -- Real public phone numbers (gov, utilities, universities,
; hospitals, transport, embassies, banks, airlines) gathered 2026-05-27
; from each organization's official site via web search.
;
; Purpose: a dataset DEMO_ENGINE (st/src/rt/demo_eng.cpp::GenCall) can draw
; from instead of synthesizing random subscriber digits, so demo runs
; produce dial sequences that resolve to named destinations in ph_info.dat
; (built from util/inf2dat/{local,ddn,ddi}.inf).
;
; Format: RFC 4180 CSV with all string fields double-quoted.  Lines that
; start with ';' (this header block) are comments -- the consuming parser
; in Borland C++ 3.1 skips them with a single `if (line[0]==';') continue;`.
; CRLF line endings (enforced by .gitattributes `*.csv text eol=crlf`).
;
; Columns:
;   category            LOCAL | NAL | INTER
;   name                Organization / destination (ASCII only).
;   country             ISO 3166-1 alpha-2.
;   country_code        ITU-T E.164 country calling code.
;   region              City / state.  Informational only.
;   area_code           City or area dial code as dialed from SmartTar.
;   subscriber          Subscriber digits only, no formatting.
;   dial_from_smarttar  Exact digit sequence the engine feeds the FSM AFTER
;                       prepending access digits (LOCAL: empty access;
;                       NAL: '09'; INTER: '009'). This is the field GenCall
;                       consumes.
;   published_number    As shown on the organization's own contact page.
;   source              URL where the number was found.
;   notes               Optional context.
;
; Dial-plan note: Colombian numbers are normalized to the 2003-era plan
; SmartTar was built for.  Modern Colombian numbers (post-Resolución CRC
; 5826, 2021) carry a 60+area prefix (604 Antioquia, 601 Bogota/Cundi-
; namarca, 605 Caribbean coast).  That prefix is stripped from
; dial_from_smarttar so it matches the ph_info.dat numbering tree.  The
; published_number column preserves the modern format.
;
; INTER budget note: the engine's INTER_DIGITS=14 leaves 11 digits after
; the '009' access.  Some Mexico City entries are 12 digits and lose a
; trailing digit when the engine truncates -- the country/city prefix
; still matches ddi.inf so call classification is unaffected.
;
"category","name","country","country_code","region","area_code","subscriber","dial_from_smarttar","published_number","source","notes"
"LOCAL","Alcaldia de Medellin -- Linea Unica de Atencion a la Ciudadania","CO","57","Medellin Antioquia","4","4444144","4444144","+57 (604) 44 44 144","https://www.medellin.gov.co/es/secretaria-de-gestion-humana/servicio-a-la-ciudadania/informacion-de-contacto-y-directorio-institucional/",""
"LOCAL","Alcaldia de Medellin -- conmutador general","CO","57","Medellin Antioquia","4","3855555","3855555","+57 (604) 385 55 55","https://www.medellin.gov.co/es/secretaria-de-gestion-humana/servicio-a-la-ciudadania/informacion-de-contacto-y-directorio-institucional/",""
"LOCAL","EPM Empresas Publicas de Medellin -- atencion al cliente","CO","57","Medellin Antioquia","4","4444115","4444115","604 4444 115","https://www.epm.com.co/clientesyusuarios/servicio-al-cliente/comunicate-con-nosotros/",""
"LOCAL","Universidad de Antioquia -- facultad","CO","57","Medellin Antioquia","4","2196520","2196520","(57+4) 219 65 20","https://www.udea.edu.co/",""
"LOCAL","Universidad de Antioquia -- otro departamento","CO","57","Medellin Antioquia","4","2195900","2195900","219 59 00","https://www.udea.edu.co/",""
"LOCAL","Hospital Pablo Tobon Uribe -- PBX","CO","57","Medellin Antioquia","4","4459000","4459000","+57 (604) 445 90 00","https://hptu.org/en/pages/contacto",""
"LOCAL","Hospital Pablo Tobon Uribe -- central de citas","CO","57","Medellin Antioquia","4","3604788","3604788","+57 (604) 360 47 88","https://hptu.org/en/pages/contacto",""
"LOCAL","Metro de Medellin -- Linea Hola Metro","CO","57","Medellin Antioquia","4","4449598","4449598","444 95 98","https://www.facebook.com/metrodemedellin/videos/la-linea-hola-metro-444-95-98/1661463830809972/",""
"LOCAL","Metro de Medellin -- atencion al cliente","CO","57","Medellin Antioquia","4","4445545","4445545","444 55 45","https://www.metrodemedellin.gov.co/atencionalciudadano",""
"LOCAL","Aeropuerto Jose Maria Cordova (Rionegro)","CO","57","Rionegro Antioquia","4","4025110","4025110","+57 (604) 402 5110","https://www.aeropuertorionegro.co/","Rionegro is in the Jose Maria Cordova service area -- dialed as a Medellin local call from the Aburra Valley."
"LOCAL","Alcaldia de Marinilla -- conmutador","CO","57","Marinilla Antioquia","4","5484410","5484410","548 44 10","https://www.marinilla-antioquia.gov.co/","Eastern Antioquia town -- prefix 548 matches Marinilla(Ant) in local.inf (not the big Medellin 200-499 bucket)."
"LOCAL","Alcaldia de La Ceja -- conmutador","CO","57","La Ceja Antioquia","4","5531414","5531414","+57 (604) 5531414","https://laceja-antioquia.gov.co/","Prefix 553 matches La Ceja(Ant) in local.inf."
"LOCAL","Alcaldia de El Santuario -- emergencias","CO","57","El Santuario Antioquia","4","5465589","5465589","546 55 89","https://www.elsantuario-antioquia.gov.co/","Prefix 546 matches El Santuario(Ant) in local.inf."
"LOCAL","Alcaldia de El Santuario -- administrativo","CO","57","El Santuario Antioquia","4","5463726","5463726","546 37 26","https://www.elsantuario-antioquia.gov.co/","Prefix 546 matches El Santuario(Ant) in local.inf."
"NAL","Alcaldia Mayor de Bogota -- conmutador","CO","57","Bogota D.C.","1","3855000","13855000","(601) 3 85 50 00","https://bogota.gov.co/",""
"NAL","Avianca -- call center Bogota (reservas 24h)","CO","57","Bogota D.C.","1","3073940","13073940","+57 (601) 307 3940","https://www.avianca.com/co/",""
"NAL","Aeropuerto Internacional El Dorado -- Bogota","CO","57","Bogota D.C.","1","2662000","12662000","+57 601 2662000","https://eldorado.aero/en/contacto",""
"NAL","Universidad Nacional de Colombia -- Bogota conmutador","CO","57","Bogota D.C.","1","3165000","13165000","(+57 1) 316 5000","https://unal.edu.co/contactenos",""
"NAL","Universidad Nacional de Colombia -- Bogota segunda linea","CO","57","Bogota D.C.","1","4068888","14068888","(+57) 601 4068888","https://unal.edu.co/contactenos",""
"NAL","Embajada de los Estados Unidos en Colombia -- Bogota","CO","57","Bogota D.C.","1","2752000","12752000","(+57) (601) 275-2000","https://co.usembassy.gov/contact/",""
"NAL","Embajada de Espana en Colombia -- Bogota","CO","57","Bogota D.C.","1","6220090","16220090","+57 (601) 622 00 90","https://www.exteriores.gob.es/Embajadas/bogota/es/Embajada/Paginas/Contacto.aspx",""
"NAL","Bancolombia -- sucursal telefonica Bogota","CO","57","Bogota D.C.","1","3430000","13430000","(+57) 601 343 0000","https://www.bancolombia.com/personas/contactanos",""
"NAL","Alcaldia de Barranquilla -- conmutador","CO","57","Barranquilla Atlantico","5","4010205","54010205","+57 (605) 4010205","https://www.barranquilla.gov.co/adi/contactanos/directorio-telefonico",""
"NAL","Alcaldia Mayor de Cartagena de Indias -- conmutador","CO","57","Cartagena Bolivar","5","6411370","56411370","+57 605 641 13 70","https://www.cartagena.gov.co/canales-de-atencion",""
"NAL","Alcaldia de Santiago de Cali -- atencion ciudadano","CO","57","Cali Valle del Cauca","2","8879020","28879020","602 887 90 20","https://www.cali.gov.co/participacion/publicaciones/135306/canal-telefonico-de-atencion-al-ciudadano/","Prefix 288 matches Cali 2(Val) in ddn.inf."
"NAL","Universidad del Valle -- conmutador Cali","CO","57","Cali Valle del Cauca","2","3212100","23212100","+57 602 3212100","https://oitel.univalle.edu.co/index.php/conmutador","Prefix 232 matches Cali 1(Val) in ddn.inf."
"NAL","Alcaldia de Pasto -- conmutador","CO","57","Pasto Narino","2","7291919","27291919","7291919","https://www.pasto.gov.co/index.php/nuestro-entidad/directorio-telefonico","Prefix 2729 matches Pasto(Nar) in ddn.inf."
"NAL","Alcaldia de Bucaramanga -- conmutador","CO","57","Bucaramanga Santander","7","6337000","76337000","+57 (607) 633 70 00","https://www.bucaramanga.gov.co/contacto/","Prefix 763 matches Bucaramanga(Sdr) in ddn.inf."
"NAL","Alcaldia de Pereira -- conmutador","CO","57","Pereira Risaralda","6","3248000","63248000","(+57) 6 3248000","https://www.pereira.gov.co/documentos/1452/contactenos/","Prefix 6324 matches Pereira(Ris) in ddn.inf."
"NAL","Universidad de Caldas -- conmutador Manizales","CO","57","Manizales Caldas","6","8861250","68861250","(57) 6 8861250","https://www.ucaldas.edu.co/portal/contactos-y-directorios/","Prefix 688 matches Manizales(Cds) in ddn.inf. Note: modern Alcaldia de Manizales prefix 892 was added post-2003 and is not in the legacy ddn.inf tree -- used U. de Caldas instead."
"NAL","Alcaldia de Armenia -- Secretaria de Transito","CO","57","Armenia Quindio","6","7411413","67411413","+57 (606) 7411413","https://www.armenia.gov.co/alcaldia/lineas-telefonicas","Prefix 6741 matches Armenia(Qui) in ddn.inf."
"NAL","Alcaldia Municipal de Ibague -- conmutador","CO","57","Ibague Tolima","8","2611686","82611686","(+57) (608) 2611686","https://www.ibague.gov.co/portal/seccion/contenido/index.php?type=3&cnt=135","Prefix 826 matches Ibague(Tol) in ddn.inf."
